,Index,Symbol,Region,Asset class,Weightage (%)
0,S&P500,^GSPC,US,Equity,0.79
1,Nikkei 225,^N225,Japan,Equity,2.94
2,Russell 2000,^RUT,US,Equity,0.66
4,Hang Seng index,^HSI,China,Equity,1.7999999999999998
5,Vanguard FTSE Emerging Markets Index Fund ETF Shares,VWO,Emerging Market,Equity,0.8099999999999999
6,iShares MSCI India ETF,INDA,Emerging Market,Equity,1.28
7,Alpha Architect Freedom 100 Emerging Markets ETF,FRDM,Emerging Market,Equity,0.6799999999999999
8,BMO MSCI Emerging Markets Index ETF,ZEM.TO,Emerging Market,Equity,1.8900000000000001
9,First Trust S&P REIT Index Fund,FRI,US,Real Estate,0.73
10,Neuberger Berman Real Estate Securities Income Fund Inc.,NRO,US,Real Estate,0.5700000000000001
11,Tokyo Stock Exchange REIT,2556.T,Japan,Real Estate,4.859999999999999
12,iShares International Developed Real Estate ETF,IFGL,Ex-US,Real Estate,0.66
13,WisdomTree Global ex-US Real Estate Fund,DRW,Global,Real Estate,2.09
14,iShares 1-3 Year Treasury Bond ETF,SHY,US,Fixed Income,8.219999999999999
15,iShares 0-5 Year High Yield Corporate Bond ETF,SHYG,US,Fixed Income,1.83
16,Vanguard Long-Term Bond Index Fund ETF Shares,BLV,US,Fixed Income,1.11
17,iShares Short-Term National Muni Bond ETF,SUB,US,Fixed Income,11.700000000000001
18,Vanguard Funds Public Limited Company - Vanguard U.K. Gilt UCITS ETF,VGOV.L,UK,Fixed Income,1.81
19,SSgA SPDR ETFs Europe I Public Limited Company - SPDR Barclays 1-5 Year Gilt UCITS ETF,GLTS.L,Europe,Fixed Income,5.8500000000000005
20,iShares France Government Bond UCITS ETF,IFRB.L,France,Fixed Income,4.130000000000001
21,iShares 1-3 Year International Treasury Bond ETF,ISHG,SW/JP/IR,Fixed Income,1.35
22,iShares Germany Government Bond UCITS ETF,SDEU.L,German,Fixed Income,4.17
23,Germany Government Bond UCITS ETF,XBTR.SW,German,Fixed Income,6.0
24,PIMCO Investment Grade Corporate Bond Index,CORP,US,Fixed Income,1.72
25,iShares 5-10 Year Investment Grade Corporate Bond ETF,IGIB,US,Fixed Income,1.66
26,Invesco Emerging Markets Sovereign Debt ETF,PCY,Emerging Market,Fixed Income,0.79
27,Janus Henderson Mortgage-Backed Securities ETF,JMBS,US,MBS,1.91
29,Lyxor Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF,CRBA.MI,,Commodities,2.12
30,Invesco DB Commodity Index Tracking Fund,DBC,,Commodities,0.96
31,Invesco DB Agriculture Fund,DBA,,Commodities,2.36
32,GraniteShares Gold Trust,BAR,,Commodities,1.21
33,ProShares Ultra Silver,AGQ,,Commodities,0.27
34,GraniteShares Platinum Trust,PLTM,,Commodities,0.63
35,Aberdeen Standard Physical Palladium Shares ETF,PALL,,Commodities,0.53
36,KraneShares Global Carbon ETF,KRBN,,Commodities,0.8500000000000001
37,"United States Gasoline Fund, LP",UGA,,Commodities,0.74
38,SPDR S&P Oil & Gas Exploration & Production ETF,XOP,,Commodities,0.5499999999999999
39,ProShares Ultra Bloomberg Crude Oil,UCO,,Commodities,0.37
40,Invesco CurrencyShares Swiss Franc Trust,FXF,Switzerland,Forex,1.66
41,Invesco CurrencyShares Japanese Yen Trust,FXY,Japan,Forex,1.69
42,Invesco CurrencyShares Euro Currency Trust,FXE,Europe,Forex,1.55
43,Invesco CurrencyShares British Pound Sterling Trust,FXB,UK,Forex,1.21
44,Invesco CurrencyShares Australian Dollar Trust,FXA,Australia,Forex,1.02
45,WisdomTree Emerging Currency Strategy Fund,CEW,Emerging Markets,Forex,1.8399999999999999
46,WisdomTree Chinese Yuan Strategy Fund,CYB,China,Forex,2.21
47,Invesco CurrencyShares Canadian Dollar Trust,FXC,Canada,Forex,1.92
48,NBI Global Private Equity ETF,NGPE.TO,,Private Equity,1.7500000000000002
49,ProShares Global Listed Private Equity ETF,PEX,,Private Equity,0.64
50,LPX Private Equity Swap UCITS ETF,XLPE.L,,Private Equity,1.41
51,CMC Crypto 200 Index by Solacti,^CMC200,,Crypto,0.53
